input
27,1
177,0
404,1
518,3
1314,1
1557,4
1760,2
1772,4
2193,1
2477,1
2851,1
3025,2
3038,4
3272,1
4175,0
4656,0
4739,2
5051,4
6448,0
7131,5
7145,5
7219,2
7320,5
7425,5
7531,5
7557,5
7971,5
8070,0
8327,1
9061,5
9241,0
9382,5
9916,5
11451,5
11992,5
12198,1
13365,5
13397,5
13851,5
13886,5
13966,5
14268,1
14305,1
15243,1
15975,5
16025,0
16031,0
16292,1
16688,2
16737,2
17315,2
17690,5
17829,5
18109,0
18390,1
18645,2
18831,1
19152,5
19609,1
19623,0
19671,1
19696,2
19921,5
20091,0
20108,0
20131,0
22343,1
22902,2
23009,5
23320,2
23438,5
23484,5
23542,5
23643,1
24961,2
25168,2
25394,1
26324,1
26339,1
26899,1
26953,3
27293,3
27306,3
27389,4
27789,4
28103,0
28141,1
29042,1
29223,0
29230,1
29813,3
29947,4
29968,2
30238,1
30347,1
30819,1
30986,5
31039,5
31244,1
31283,2
31312,2
31677,1
32024,0
32390,1
32470,1
32793,2
32798,2
32876,2
33090,5
33124,5
33710,2
33754,2
33909,5
34305,1
34730,2
35569,5
35809,1
38846,0
40409,1
40600,5
40788,2
40902,2
41046,5
42324,1
42709,2
43295,2
44398,1
44595,5
44959,2
45530,5
45552,5
45643,1
45667,1
46476,0
47484,5
47727,2
48339,1
49249,1
49560,4
49599,4
50443,1
50981,3
51519,4
51929,4
52037,0
52683,3
53148,4
53198,4
53718,3
53835,4
53852,4
